Date,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,EBITDA_Margin,Expense_Ratio,Effective_Tax_Rate,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Gross_Profit_Growth_QoQ
2024-06-30,3110000000.0,1020000000.0,3110000000.0,2090000000.0,640000000.0,363395225.0,3.77,1370000000.0,80000000.0,60000000.0,1980000000.0,4960000000.0,2740000000.0,6940000000.0,11570000000.0,18510000000.0,18510000000.0,AARTIIND.NS,Chemicals,0.3749324689357104,0.10696920583468396,0.07401404646137223,0.16801728795245813,0.26796326310102647,0.05517241379310345,0.0,0.0,0.0
2024-09-30,2020000000.0,1080000000.0,2040000000.0,960000000.0,620000000.0,361111111.0,1.44,520000000.0,-180000000.0,50000000.0,880000000.0,5230000000.0,3100000000.0,6110000000.0,10170000000.0,16280000000.0,16280000000.0,AARTIIND.NS,Chemicals,0.3753071253071253,0.05405405405405406,0.03194103194103194,0.12407862407862408,0.32125307125307123,-0.5294117647058824,-0.12047541869259859,-0.6204379562043796,-0.1195965417867435
2024-12-31,2360000000.0,1110000000.0,2360000000.0,1250000000.0,850000000.0,362204724.0,1.27,460000000.0,-60000000.0,50000000.0,1210000000.0,4890000000.0,2730000000.0,6100000000.0,12300000000.0,18400000000.0,18400000000.0,AARTIIND.NS,Chemicals,0.33152173913043476,0.06576086956521739,0.025,0.1282608695652174,0.2657608695652174,-0.15,0.13022113022113024,-0.11538461538461542,-0.0016366612111292644
2025-03-31,2374600000.0,1132700000.0,2268000000.0,1135300000.0,253000000.0,361774631.0,1.23,958700000.0,-76300000.0,-331800000.0,1868400000.0,-3518700000.0,3300000000.0,-1650300000.0,19733500000.0,18083200000.0,18083200000.0,AARTIIND.NS,Chemicals,-0.09126150238895771,0.10332242081047602,0.05301605910458326,0.1313152539373562,-0.19458392319943374,-0.08646872166817769,-0.01721739130434785,1.0841304347826086,-1.2705409836065573
2025-06-30,2160000000.0,1140000000.0,2160000000.0,1020000000.0,600000000.0,361344538.0,1.19,430000000.0,-20000000.0,40000000.0,810000000.0,4720000000.0,2490000000.0,5530000000.0,11220000000.0,16750000000.0,16750000000.0,AARTIIND.NS,Chemicals,0.3301492537313433,0.04835820895522388,0.025671641791044777,0.12895522388059702,0.2817910447761194,-0.04878048780487805,-0.07372588922314638,-0.5514759570251382,-4.350905895897716
2024-06-30,6292400000.0,309700000.0,6292400000.0,5982700000.0,45100000.0,211908375.0,20.928385,4434900000.0,1511300000.0,867500000.0,5115200000.0,6791100000.0,4675100000.0,11906300000.0,16178500000.0,28084800000.0,28084800000.0,ABB.NS,Industrials,0.4239410642055489,0.18213410812966443,0.15791104084771834,0.22405001993961146,0.24180695607588445,0.2541623221553261,0.0,0.0,0.0
2024-09-30,6331100000.0,328300000.0,6331100000.0,6002800000.0,30000000.0,211856662.0,20.79,4404500000.0,1568100000.0,928900000.0,5073900000.0,7326700000.0,5203300000.0,12400600000.0,16485300000.0,28885900000.0,28885900000.0,ABB.NS,Industrials,0.42929595408140303,0.17565317334755018,0.15247923727493345,0.2191761378388764,0.2536427807338528,0.2625489736463182,0.02852432632598423,-0.006854720512300183,0.04151583615396892
2024-12-31,7429100000.0,337000000.0,7429100000.0,7092100000.0,40800000.0,211919845.0,21.59,5284100000.0,1732200000.0,-2566700000.0,6575600000.0,2718400000.0,-1785000000.0,9294000000.0,23974800000.0,33268800000.0,33268800000.0,ABB.NS,Industrials,0.27936084259125665,0.19765065166161688,0.15883049583994613,0.2233053190977733,0.08171019092963978,0.24688225988056384,0.15173146760184042,0.19970484731524585,-0.2505201361224457
2025-03-31,6746000000.0,337600000.0,6746000000.0,6408400000.0,47100000.0,211983028.0,22.39,4746300000.0,1620100000.0,923300000.0,5485100000.0,7491700000.0,4901000000.0,12976800000.0,18420000000.0,31396800000.0,31396800000.0,ABB.NS,Industrials,0.4133160067268002,0.17470251745400805,0.15117145696376702,0.21486266116292108,0.23861348927279213,0.2544766272932898,-0.056268936661376445,-0.10177702920081,0.396255648805681
2025-06-30,5138400000.0,355400000.0,5138400000.0,4783000000.0,41900000.0,211908375.0,16.598683,3517400000.0,1220300000.0,997500000.0,3785500000.0,8046100000.0,5839900000.0,11831600000.0,19613600000.0,31445200000.0,31445200000.0,ABB.NS,Industrials,0.37626092376578935,0.12038403317517458,0.11185808962894178,0.1634080877208604,0.2558768905906148,0.2575722396943665,0.001541558375375729,-0.25891747255757114,-0.08824979964243884
